home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,1,1,923,1,320,602,18490
True,True,0.1,1,2,923,1,320,602,36980
True,True,0.1,1,3,923,1,320,602,55470
True,True,0.1,1,4,923,1,320,602,73960
True,True,0.1,1,5,974,1,337,636,92450
True,True,0.1,1,6,1032,1,359,672,110940
True,True,0.1,1,7,1085,1,375,709,129430
True,True,0.1,1,8,1130,1,387,742,147920
True,True,0.1,1,9,1177,1,406,770,166410
True,True,0.1,1,10,1227,1,429,797,184900
True,True,0.1,1,11,1270,1,447,822,203390
True,True,0.1,1,12,1274,1,449,824,221880
True,True,0.1,1,13,1280,1,451,828,240370
True,True,0.1,1,14,1284,1,454,829,258860
True,True,0.1,1,15,1293,1,456,836,277350
True,True,0.1,1,16,1299,1,460,838,295840
True,True,0.1,1,17,1305,1,462,842,314330
True,True,0.1,1,18,1311,1,465,845,332820
True,True,0.1,1,19,1317,1,468,848,351310
True,True,0.1,1,20,1319,1,468,850,369800
True,True,0.1,1,21,1321,1,469,851,388290
True,True,0.1,1,22,1321,1,469,851,406780
True,True,0.1,1,23,1321,1,469,851,425270
True,True,0.1,1,24,1321,1,469,851,443760
True,True,0.1,1,25,1321,1,469,851,462250
True,True,0.1,1,26,1321,1,469,851,480740
True,True,0.1,1,27,1321,1,469,851,499230
True,True,0.1,1,28,1321,1,469,851,517720
True,True,0.1,1,29,1321,1,469,851,536210
True,True,0.1,1,30,1321,1,469,851,554700
True,True,0.1,1,31,1321,1,469,851,573190
True,True,0.1,1,32,1321,1,469,851,591680
True,True,0.1,1,33,1321,1,469,851,610170
True,True,0.1,1,34,1321,1,469,851,628660
True,True,0.1,1,35,1321,1,469,851,647150
True,True,0.1,1,36,1321,1,469,851,665640
True,True,0.1,1,37,1321,1,469,851,684130
True,True,0.1,1,38,1321,1,469,851,702620
True,True,0.1,1,39,1321,1,469,851,721110
True,True,0.1,1,40,1321,1,469,851,739600
True,True,0.1,1,41,1321,1,469,851,758090
True,True,0.1,1,42,1321,1,469,851,776580
True,True,0.1,1,43,1321,1,469,851,795070
True,True,0.1,1,44,1321,1,469,851,813560
True,True,0.1,1,45,1321,1,469,851,832050
True,True,0.1,1,46,1321,1,469,851,850540
True,True,0.1,1,47,1321,1,469,851,869030
True,True,0.1,1,48,1321,1,469,851,887520
True,True,0.1,1,49,1321,1,469,851,906010
True,True,0.1,1,50,1321,1,469,851,924500
True,True,0.1,1,51,1321,1,469,851,942990
True,True,0.1,1,52,1321,1,469,851,961480
True,True,0.1,1,53,1321,1,469,851,979970
True,True,0.1,1,54,1321,1,469,851,998460
True,True,0.1,1,55,1321,1,469,851,1016950
True,True,0.1,1,56,1321,1,469,851,1035440
True,True,0.1,1,57,1321,1,469,851,1053930
True,True,0.1,1,58,1321,1,469,851,1072420
True,True,0.1,1,59,1321,1,469,851,1090910
True,True,0.1,1,60,1321,1,469,851,1109400
True,True,0.1,2,1,944,1,308,635,18490
True,True,0.1,2,2,944,1,308,635,36980
True,True,0.1,2,3,944,1,308,635,55470
True,True,0.1,2,4,944,1,308,635,73960
True,True,0.1,2,5,1012,1,332,679,92450
True,True,0.1,2,6,1066,1,345,720,110940
True,True,0.1,2,7,1121,1,365,755,129430
True,True,0.1,2,8,1183,1,382,800,147920
True,True,0.1,2,9,1237,1,402,834,166410
True,True,0.1,2,10,1287,2,419,866,184900
True,True,0.1,2,11,1337,2,439,896,203390
True,True,0.1,2,12,1342,2,440,900,221880
True,True,0.1,2,13,1344,2,441,901,240370
True,True,0.1,2,14,1355,2,446,907,258860
True,True,0.1,2,15,1357,2,447,908,277350
True,True,0.1,2,16,1365,2,448,915,295840
True,True,0.1,2,17,1373,2,449,922,314330
True,True,0.1,2,18,1380,2,451,927,332820
True,True,0.1,2,19,1385,2,454,929,351310
True,True,0.1,2,20,1388,2,455,931,369800
True,True,0.1,2,21,1390,2,455,933,388290
True,True,0.1,2,22,1390,2,455,933,406780
True,True,0.1,2,23,1390,2,455,933,425270
True,True,0.1,2,24,1390,2,455,933,443760
True,True,0.1,2,25,1390,2,455,933,462250
True,True,0.1,2,26,1390,2,455,933,480740
True,True,0.1,2,27,1390,2,455,933,499230
True,True,0.1,2,28,1390,2,455,933,517720
True,True,0.1,2,29,1390,2,455,933,536210
True,True,0.1,2,30,1390,2,455,933,554700
True,True,0.1,2,31,1390,2,455,933,573190
True,True,0.1,2,32,1390,2,455,933,591680
True,True,0.1,2,33,1390,2,455,933,610170
True,True,0.1,2,34,1390,2,455,933,628660
True,True,0.1,2,35,1390,2,455,933,647150
True,True,0.1,2,36,1390,2,455,933,665640
True,True,0.1,2,37,1390,2,455,933,684130
True,True,0.1,2,38,1390,2,455,933,702620
True,True,0.1,2,39,1390,2,455,933,721110
True,True,0.1,2,40,1390,2,455,933,739600
True,True,0.1,2,41,1390,2,455,933,758090
True,True,0.1,2,42,1390,2,455,933,776580
True,True,0.1,2,43,1390,2,455,933,795070
True,True,0.1,2,44,1390,2,455,933,813560
True,True,0.1,2,45,1390,2,455,933,832050
True,True,0.1,2,46,1390,2,455,933,850540
True,True,0.1,2,47,1390,2,455,933,869030
True,True,0.1,2,48,1390,2,455,933,887520
True,True,0.1,2,49,1390,2,455,933,906010
True,True,0.1,2,50,1390,2,455,933,924500
True,True,0.1,2,51,1390,2,455,933,942990
True,True,0.1,2,52,1390,2,455,933,961480
True,True,0.1,2,53,1390,2,455,933,979970
True,True,0.1,2,54,1390,2,455,933,998460
True,True,0.1,2,55,1390,2,455,933,1016950
True,True,0.1,2,56,1390,2,455,933,1035440
True,True,0.1,2,57,1390,2,455,933,1053930
True,True,0.1,2,58,1390,2,455,933,1072420
True,True,0.1,2,59,1390,2,455,933,1090910
True,True,0.1,2,60,1390,2,455,933,1109400
True,True,0.1,3,1,924,1,300,623,18490
True,True,0.1,3,2,924,1,300,623,36980
True,True,0.1,3,3,924,1,300,623,55470
True,True,0.1,3,4,924,1,300,623,73960
True,True,0.1,3,5,980,1,316,663,92450
True,True,0.1,3,6,1047,2,333,712,110940
True,True,0.1,3,7,1086,2,345,739,129430
True,True,0.1,3,8,1135,2,367,766,147920
True,True,0.1,3,9,1180,2,383,795,166410
True,True,0.1,3,10,1231,2,397,832,184900
True,True,0.1,3,11,1286,2,422,862,203390
True,True,0.1,3,12,1290,2,425,863,221880
True,True,0.1,3,13,1295,2,425,868,240370
True,True,0.1,3,14,1305,2,427,876,258860
True,True,0.1,3,15,1315,2,431,882,277350
True,True,0.1,3,16,1322,2,433,887,295840
True,True,0.1,3,17,1333,2,437,894,314330
