home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
True,True,0.1,1,6000,469,20,1,12000,851,18020,1321,1109400
True,True,0.1,2,6000,455,20,2,12000,933,18020,1390,1109400
True,True,0.1,3,6000,443,20,2,12000,899,18020,1344,1109400
True,True,0.1,4,6000,398,20,7,12000,845,18020,1250,1109400
True,True,0.1,5,6000,501,20,0,12000,876,18020,1377,1109400
True,True,0.1,6,6000,441,20,1,12000,900,18020,1342,1109400
True,True,0.1,7,6000,437,20,1,12000,859,18020,1297,1109400
True,True,0.1,8,6000,472,20,4,12000,901,18020,1377,1109400
True,True,0.1,9,6000,408,20,1,12000,842,18020,1251,1109400
True,True,0.1,10,6000,472,20,5,12000,886,18020,1363,1109400
True,True,0.1,11,6000,424,20,5,12000,852,18020,1281,1109400
True,True,0.1,12,6000,420,20,7,12000,856,18020,1283,1109400
True,True,0.1,13,6000,423,20,0,12000,886,18020,1309,1109400
True,True,0.1,14,6000,448,20,1,12000,856,18020,1305,1109400
True,True,0.1,15,6000,460,20,0,12000,885,18020,1345,1109400
True,True,0.1,16,6000,418,20,3,12000,842,18020,1263,1109400
True,True,0.1,17,6000,405,20,5,12000,871,18020,1281,1109400
True,True,0.1,18,6000,438,20,1,12000,897,18020,1336,1109400
True,True,0.1,19,6000,435,20,2,12000,886,18020,1323,1109400
True,True,0.1,20,6000,474,20,1,12000,893,18020,1368,1109400
True,True,0.1,21,6000,447,20,1,12000,924,18020,1372,1109400
True,True,0.1,22,6000,441,20,0,12000,896,18020,1337,1109400
True,True,0.1,23,6000,465,20,0,12000,900,18020,1365,1109400
True,True,0.1,24,6000,467,20,8,12000,935,18020,1410,1109400
True,True,0.1,25,6000,448,20,3,12000,865,18020,1316,1109400
True,True,0.1,26,6000,425,20,1,12000,883,18020,1309,1109400
True,True,0.1,27,6000,451,20,0,12000,864,18020,1315,1109400
True,True,0.1,28,6000,452,20,1,12000,856,18020,1309,1109400
True,True,0.1,29,6000,415,20,0,12000,829,18020,1244,1109400
True,True,0.1,30,6000,462,20,2,12000,866,18020,1330,1109400
True,True,0.1,31,6000,438,20,1,12000,891,18020,1330,1109400
True,True,0.1,32,6000,477,20,0,12000,898,18020,1375,1109400
True,True,0.1,33,6000,450,20,1,12000,832,18020,1283,1109400
True,True,0.1,34,6000,468,20,0,12000,910,18020,1378,1109400
True,True,0.1,35,6000,417,20,10,12000,865,18020,1292,1109400
True,True,0.1,36,6000,443,20,0,12000,848,18020,1291,1109400
True,True,0.1,37,6000,467,20,0,12000,851,18020,1318,1109400
True,True,0.1,38,6000,418,20,1,12000,842,18020,1261,1109400
True,True,0.1,39,6000,457,20,6,12000,921,18020,1384,1109400
True,True,0.1,40,6000,447,20,7,12000,922,18020,1376,1109400
True,True,0.1,41,6000,490,20,0,12000,960,18020,1450,1109400
True,True,0.1,42,6000,422,20,3,12000,870,18020,1295,1109400
True,True,0.1,43,6000,440,20,2,12000,842,18020,1284,1109400
True,True,0.1,44,6000,443,20,2,12000,840,18020,1285,1109400
True,True,0.1,45,6000,450,20,1,12000,894,18020,1345,1109400
True,True,0.1,46,6000,413,20,5,12000,923,18020,1341,1109400
True,True,0.1,47,6000,424,20,8,12000,853,18020,1285,1109400
True,True,0.1,48,6000,416,20,1,12000,869,18020,1286,1109400
True,True,0.1,49,6000,458,20,4,12000,935,18020,1397,1109400
True,True,0.1,50,6000,456,20,4,12000,881,18020,1341,1109400
True,True,1.0,1,6000,436,20,1,12000,872,18020,1309,1109400
True,True,1.0,2,6000,439,20,2,12000,834,18020,1275,1109400
True,True,1.0,3,6000,424,20,1,12000,844,18020,1269,1109400
True,True,1.0,4,6000,422,20,1,12000,840,18020,1263,1109400
True,True,1.0,5,6000,443,20,1,12000,897,18020,1341,1109400
True,True,1.0,6,6000,425,20,1,12000,861,18020,1287,1109400
True,True,1.0,7,6000,434,20,0,12000,894,18020,1328,1109400
True,True,1.0,8,6000,442,20,11,12000,887,18020,1340,1109400
True,True,1.0,9,6000,434,20,0,12000,837,18020,1271,1109400
True,True,1.0,10,6000,475,20,2,12000,882,18020,1359,1109400
True,True,1.0,11,6000,426,20,2,12000,884,18020,1312,1109400
True,True,1.0,12,6000,430,20,1,12000,865,18020,1296,1109400
True,True,1.0,13,6000,439,20,1,12000,877,18020,1317,1109400
True,True,1.0,14,6000,429,20,5,12000,883,18020,1317,1109400
True,True,1.0,15,6000,401,20,1,12000,835,18020,1237,1109400
True,True,1.0,16,6000,477,20,1,12000,940,18020,1418,1109400
True,True,1.0,17,6000,453,20,2,12000,885,18020,1340,1109400
True,True,1.0,18,6000,413,20,0,12000,870,18020,1283,1109400
True,True,1.0,19,6000,432,20,6,12000,846,18020,1284,1109400
True,True,1.0,20,6000,469,20,1,12000,864,18020,1334,1109400
True,True,1.0,21,6000,449,20,0,12000,868,18020,1317,1109400
True,True,1.0,22,6000,468,20,10,12000,921,18020,1399,1109400
True,True,1.0,23,6000,421,20,2,12000,814,18020,1237,1109400
True,True,1.0,24,6000,423,20,8,12000,828,18020,1259,1109400
True,True,1.0,25,6000,486,20,5,12000,932,18020,1423,1109400
True,True,1.0,26,6000,465,20,0,12000,855,18020,1320,1109400
True,True,1.0,27,6000,397,20,1,12000,870,18020,1268,1109400
True,True,1.0,28,6000,442,20,2,12000,911,18020,1355,1109400
True,True,1.0,29,6000,437,20,1,12000,828,18020,1266,1109400
True,True,1.0,30,6000,441,20,1,12000,911,18020,1353,1109400
True,True,1.0,31,6000,408,20,0,12000,888,18020,1296,1109400
True,True,1.0,32,6000,435,20,6,12000,857,18020,1298,1109400
True,True,1.0,33,6000,479,20,0,12000,954,18020,1433,1109400
True,True,1.0,34,6000,474,20,4,12000,899,18020,1377,1109400
True,True,1.0,35,6000,405,20,4,12000,855,18020,1264,1109400
True,True,1.0,36,6000,459,20,1,12000,898,18020,1358,1109400
True,True,1.0,37,6000,469,20,1,12000,892,18020,1362,1109400
True,True,1.0,38,6000,431,20,3,12000,855,18020,1289,1109400
True,True,1.0,39,6000,435,20,2,12000,855,18020,1292,1109400
True,True,1.0,40,6000,438,20,0,12000,909,18020,1347,1109400
True,True,1.0,41,6000,447,20,0,12000,898,18020,1345,1109400
