home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,p_external_infection_per_day,iteration,day,n_people_infected,n_clinicians_infected,n_patients_infected,n_family_infected,n_contacts
True,True,0.1,0.0,1,1,887,2,313,572,18490
True,True,0.1,0.0,1,2,887,2,313,572,36980
True,True,0.1,0.0,1,3,887,2,313,572,55470
True,True,0.1,0.0,1,4,887,2,313,572,73960
True,True,0.1,0.0,1,5,950,2,334,614,92450
True,True,0.1,0.0,1,6,1011,2,347,662,110940
True,True,0.1,0.0,1,7,1065,2,370,693,129430
True,True,0.1,0.0,1,8,1113,2,392,719,147920
True,True,0.1,0.0,1,9,1159,2,402,755,166410
True,True,0.1,0.0,1,10,1210,2,418,790,184900
True,True,0.1,0.0,1,11,1261,2,435,824,203390
True,True,0.1,0.0,1,12,1265,2,436,827,221880
True,True,0.1,0.0,1,13,1274,2,439,833,240370
True,True,0.1,0.0,1,14,1282,2,441,839,258860
True,True,0.1,0.0,1,15,1291,2,446,843,277350
True,True,0.1,0.0,1,16,1292,2,447,843,295840
True,True,0.1,0.0,1,17,1301,2,450,849,314330
True,True,0.1,0.0,1,18,1305,2,452,851,332820
True,True,0.1,0.0,1,19,1306,2,452,852,351310
True,True,0.1,0.0,1,20,1306,2,452,852,369800
True,True,0.1,0.0,1,21,1307,2,452,853,388290
True,True,0.1,0.0,1,22,1309,2,452,855,406780
True,True,0.1,0.0,1,23,1309,2,452,855,425270
True,True,0.1,0.0,1,24,1309,2,452,855,443760
True,True,0.1,0.0,1,25,1309,2,452,855,462250
True,True,0.1,0.0,1,26,1309,2,452,855,480740
True,True,0.1,0.0,1,27,1309,2,452,855,499230
True,True,0.1,0.0,1,28,1309,2,452,855,517720
True,True,0.1,0.0,1,29,1309,2,452,855,536210
True,True,0.1,0.0,1,30,1309,2,452,855,554700
True,True,0.1,0.0,1,31,1309,2,452,855,573190
True,True,0.1,0.0,1,32,1309,2,452,855,591680
True,True,0.1,0.0,1,33,1309,2,452,855,610170
True,True,0.1,0.0,1,34,1309,2,452,855,628660
True,True,0.1,0.0,1,35,1309,2,452,855,647150
True,True,0.1,0.0,1,36,1309,2,452,855,665640
True,True,0.1,0.0,1,37,1309,2,452,855,684130
True,True,0.1,0.0,1,38,1309,2,452,855,702620
True,True,0.1,0.0,1,39,1309,2,452,855,721110
True,True,0.1,0.0,1,40,1309,2,452,855,739600
True,True,0.1,0.0,1,41,1309,2,452,855,758090
True,True,0.1,0.0,1,42,1309,2,452,855,776580
True,True,0.1,0.0,1,43,1309,2,452,855,795070
True,True,0.1,0.0,1,44,1309,2,452,855,813560
True,True,0.1,0.0,1,45,1309,2,452,855,832050
True,True,0.1,0.0,1,46,1309,2,452,855,850540
True,True,0.1,0.0,1,47,1309,2,452,855,869030
True,True,0.1,0.0,1,48,1309,2,452,855,887520
True,True,0.1,0.0,1,49,1309,2,452,855,906010
True,True,0.1,0.0,1,50,1309,2,452,855,924500
True,True,0.1,0.0,1,51,1309,2,452,855,942990
True,True,0.1,0.0,1,52,1309,2,452,855,961480
True,True,0.1,0.0,1,53,1309,2,452,855,979970
True,True,0.1,0.0,1,54,1309,2,452,855,998460
True,True,0.1,0.0,1,55,1309,2,452,855,1016950
True,True,0.1,0.0,1,56,1309,2,452,855,1035440
True,True,0.1,0.0,1,57,1309,2,452,855,1053930
True,True,0.1,0.0,1,58,1309,2,452,855,1072420
True,True,0.1,0.0,1,59,1309,2,452,855,1090910
True,True,0.1,0.0,1,60,1309,2,452,855,1109400
True,True,0.1,0.02,1,1,1211,1,379,831,18490
True,True,0.1,0.02,1,2,1558,3,485,1070,36980
True,True,0.1,0.02,1,3,1892,4,598,1290,55470
True,True,0.1,0.02,1,4,2235,5,718,1512,73960
True,True,0.1,0.02,1,5,2601,7,846,1748,92450
True,True,0.1,0.02,1,6,2959,7,975,1977,110940
True,True,0.1,0.02,1,7,3343,7,1129,2207,129430
True,True,0.1,0.02,1,8,3753,9,1258,2486,147920
True,True,0.1,0.02,1,9,4178,10,1395,2773,166410
True,True,0.1,0.02,1,10,4564,10,1518,3036,184900
True,True,0.1,0.02,1,11,4938,11,1638,3289,203390
True,True,0.1,0.02,1,12,5290,11,1750,3529,221880
True,True,0.1,0.02,1,13,5681,13,1870,3798,240370
True,True,0.1,0.02,1,14,6075,13,2010,4052,258860
True,True,0.1,0.02,1,15,6445,13,2131,4301,277350
True,True,0.1,0.02,1,16,6755,13,2247,4495,295840
True,True,0.1,0.02,1,17,7074,14,2349,4711,314330
True,True,0.1,0.02,1,18,7383,14,2458,4911,332820
True,True,0.1,0.02,1,19,7655,15,2555,5085,351310
True,True,0.1,0.02,1,20,7941,16,2652,5273,369800
True,True,0.1,0.02,1,21,8207,16,2735,5456,388290
True,True,0.1,0.02,1,22,8469,16,2828,5625,406780
True,True,0.1,0.02,1,23,8749,16,2907,5826,425270
True,True,0.1,0.02,1,24,9006,16,2999,5991,443760
True,True,0.1,0.02,1,25,9240,16,3084,6140,462250
True,True,0.1,0.02,1,26,9465,17,3158,6290,480740
True,True,0.1,0.02,1,27,9681,17,3236,6428,499230
True,True,0.1,0.02,1,28,9903,17,3313,6573,517720
True,True,0.1,0.02,1,29,10113,17,3384,6712,536210
True,True,0.1,0.02,1,30,10349,17,3451,6881,554700
True,True,0.1,0.02,1,31,10539,17,3506,7016,573190
True,True,0.1,0.02,1,32,10734,17,3568,7149,591680
True,True,0.1,0.02,1,33,10909,18,3633,7258,610170
True,True,0.1,0.02,1,34,11097,18,3697,7382,628660
True,True,0.1,0.02,1,35,11254,18,3740,7496,647150
True,True,0.1,0.02,1,36,11396,18,3789,7589,665640
True,True,0.1,0.02,1,37,11582,18,3852,7712,684130
True,True,0.1,0.02,1,38,11766,18,3922,7826,702620
True,True,0.1,0.02,1,39,11919,18,3964,7937,721110
True,True,0.1,0.02,1,40,12061,18,4007,8036,739600
