home_visits,clinicians_meet_each_other,social_infectivity_multiple_if_symptomatic,p_external_infection_per_day,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts
True,True,0.1,0.0,1,6000,452,20,2,12000,855,18020,1309,1109400
True,True,0.1,0.02,1,6000,4745,20,19,12000,9546,18020,14310,1109400
True,True,1.0,0.0,1,6000,442,20,0,12000,815,18020,1257,1109400
True,True,1.0,0.02,1,6000,4746,20,16,12000,9509,18020,14271,1109400
True,False,0.1,0.0,1,6000,444,20,4,12000,853,18020,1301,1098000
True,False,0.1,0.02,1,6000,4823,20,15,12000,9635,18020,14473,1098000
True,False,1.0,0.0,1,6000,422,20,2,12000,828,18020,1252,1098000
True,False,1.0,0.02,1,6000,4758,20,15,12000,9552,18020,14325,1098000
False,True,0.1,0.0,1,6000,440,20,3,12000,859,18020,1302,1097400
False,True,0.1,0.02,1,6000,4809,20,17,12000,9580,18020,14406,1097400
False,True,1.0,0.0,1,6000,436,20,0,12000,915,18020,1351,1097400
False,True,1.0,0.02,1,6000,4750,20,15,12000,9589,18020,14354,1097400
False,False,0.1,0.0,1,6000,452,20,1,12000,904,18020,1357,1086000
False,False,0.1,0.02,1,6000,4784,20,12,12000,9521,18020,14317,1086000
False,False,1.0,0.0,1,6000,455,20,0,12000,874,18020,1329,1086000
False,False,1.0,0.02,1,6000,4816,20,14,12000,9505,18020,14335,1086000
True,True,0.1,0.0,2,6000,448,20,5,12000,834,18020,1287,1109400
True,True,0.1,0.02,2,6000,4753,20,16,12000,9485,18020,14254,1109400
True,True,1.0,0.0,2,6000,442,20,0,12000,839,18020,1281,1109400
True,True,1.0,0.02,2,6000,4810,20,17,12000,9519,18020,14346,1109400
True,False,0.1,0.0,2,6000,442,20,3,12000,861,18020,1306,1098000
True,False,0.1,0.02,2,6000,4741,20,16,12000,9596,18020,14353,1098000
True,False,1.0,0.0,2,6000,483,20,2,12000,907,18020,1392,1098000
True,False,1.0,0.02,2,6000,4813,20,15,12000,9529,18020,14357,1098000
False,True,0.1,0.0,2,6000,421,20,2,12000,856,18020,1279,1097400
False,True,0.1,0.02,2,6000,4774,20,14,12000,9558,18020,14346,1097400
False,True,1.0,0.0,2,6000,421,20,2,12000,897,18020,1320,1097400
False,True,1.0,0.02,2,6000,4794,20,17,12000,9642,18020,14453,1097400
False,False,0.1,0.0,2,6000,475,20,4,12000,891,18020,1370,1086000
False,False,0.1,0.02,2,6000,4776,20,17,12000,9522,18020,14315,1086000
False,False,1.0,0.0,2,6000,407,20,1,12000,884,18020,1292,1086000
False,False,1.0,0.02,2,6000,4752,20,16,12000,9513,18020,14281,1086000
True,True,0.1,0.0,3,6000,436,20,3,12000,970,18020,1409,1109400
True,True,0.1,0.02,3,6000,4771,20,17,12000,9576,18020,14364,1109400
True,True,1.0,0.0,3,6000,399,20,0,12000,866,18020,1265,1109400
True,True,1.0,0.02,3,6000,4773,20,17,12000,9557,18020,14347,1109400
True,False,0.1,0.0,3,6000,473,20,1,12000,908,18020,1382,1098000
True,False,0.1,0.02,3,6000,4792,20,15,12000,9620,18020,14427,1098000
True,False,1.0,0.0,3,6000,466,20,3,12000,919,18020,1388,1098000
True,False,1.0,0.02,3,6000,4770,20,17,12000,9492,18020,14279,1098000
