appointment_type,clinicians_meet_each_other,behavioural_infectivity_multiple_if_symptomatic,p_baseline_infected,p_external_infection_per_day,n_patients_per_household,iteration,n_patients,n_patients_infected,n_clinicians,n_clinicians_infected,n_family,n_family_infected,n_people,n_people_infected,n_contacts,n_clinician_patient_contacts
home_visit,True,1.0,0.01,0.0,1,1,6000,122,20,0,8196,289,14216,411,871116,6000
home_visit,True,1.0,0.01,0.0,2,1,6000,414,20,0,8196,902,14216,1316,1899432,6000
home_visit,True,1.0,0.01,0.0,3,1,6000,901,20,1,8196,1747,14216,2649,2924735,6000
home_visit,True,1.0,0.01,0.0,4,1,6000,1653,20,1,8196,2826,14216,4480,3950784,6000
home_visit,True,1.0,0.01,0.0,5,1,6000,2549,20,0,8196,4483,14216,7032,4975200,6000
home_visit,True,1.0,0.01,0.0,6,1,6000,4276,20,2,8196,7209,14216,11487,5995943,6000
home_visit,True,1.0,0.01,0.0,7,1,6000,6194,20,2,8196,9506,14216,15702,7011467,6000
home_visit,True,1.0,0.01,0.0,8,1,6000,7289,20,3,8196,11063,14216,18355,8035164,6000
home_visit,True,1.0,0.01,0.0,9,1,6000,8009,20,5,8265,12327,14285,20342,9123698,6000
home_visit,True,1.0,0.01,0.0,10,1,6000,9645,20,5,8265,14426,14285,24076,10150330,6000
home_visit,False,1.0,0.01,0.0,1,1,6000,135,20,0,8265,274,14285,409,861105,6000
home_visit,False,1.0,0.01,0.0,2,1,6000,344,20,1,8265,699,14285,1044,1895010,6000
home_visit,False,1.0,0.01,0.0,3,1,6000,765,20,0,8256,1336,14276,2101,2913588,6000
home_visit,False,1.0,0.01,0.0,4,1,6000,1328,20,0,8265,2129,14285,3457,3962820,6000
home_visit,False,1.0,0.01,0.0,5,1,6000,3197,20,2,8256,5225,14276,8424,4975020,6000
home_visit,False,1.0,0.01,0.0,6,1,6000,3948,20,2,8265,5700,14285,9651,6008850,6000
home_visit,False,1.0,0.01,0.0,7,1,6000,5936,20,2,8405,9553,14425,15491,7184369,6000
home_visit,False,1.0,0.01,0.0,8,1,6000,6681,20,3,8265,10014,14285,16698,8084040,6000
home_visit,False,1.0,0.01,0.0,9,1,6000,9049,20,6,8256,13623,14276,22678,9090816,6000
home_visit,False,1.0,0.01,0.0,10,1,6000,11212,20,3,8265,16707,14285,27922,10139310,6000
home_visit,True,1.0,0.01,0.0,1,2,6000,140,20,0,8405,241,14425,381,890405,6000
home_visit,True,1.0,0.01,0.0,2,2,6000,368,20,0,8256,764,14276,1132,1893612,6000
home_visit,True,1.0,0.01,0.0,3,2,6000,885,20,1,8263,1566,14283,2452,2950316,6000
home_visit,True,1.0,0.01,0.0,4,2,6000,2079,20,4,8256,3892,14276,5975,3953385,6000
home_visit,True,1.0,0.01,0.0,5,2,6000,2806,20,2,8256,4674,14276,7482,4986287,6000
home_visit,True,1.0,0.01,0.0,6,2,6000,3816,20,7,8405,6348,14425,10172,6133666,6000
home_visit,True,1.0,0.01,0.0,7,2,6000,5245,20,3,8263,8220,14283,13469,7064770,6000
home_visit,True,1.0,0.01,0.0,8,2,6000,6418,20,3,8105,9250,14125,15671,7921218,6000
home_visit,True,1.0,0.01,0.0,9,2,6000,9107,20,0,8256,13247,14276,22354,9102216,6000
home_visit,True,1.0,0.01,0.0,10,2,6000,12202,20,11,8405,18507,14425,30723,10350040,6000
home_visit,False,1.0,0.01,0.0,1,2,6000,111,20,1,8405,238,14425,350,879005,6000
home_visit,False,1.0,0.01,0.0,2,2,6000,459,20,0,8405,1005,14425,1464,1929490,6000
home_visit,False,1.0,0.01,0.0,3,2,6000,828,20,1,8263,1577,14283,2406,2939049,6000
home_visit,False,1.0,0.01,0.0,4,2,6000,1809,20,0,8263,3081,14283,4890,3966232,6000
home_visit,False,1.0,0.01,0.0,5,2,6000,2634,20,1,8256,4331,14276,6966,4975020,6000
home_visit,False,1.0,0.01,0.0,6,2,6000,4662,20,3,8263,7556,14283,12221,6036978,6000
home_visit,False,1.0,0.01,0.0,7,2,6000,5220,20,1,8105,8061,14125,13282,6908603,6000
home_visit,False,1.0,0.01,0.0,8,2,6000,7013,20,0,8105,10925,14125,17938,7910080,6000
home_visit,False,1.0,0.01,0.0,9,2,6000,8524,20,4,8181,12943,14201,21471,9009438,6000
home_visit,False,1.0,0.01,0.0,10,2,6000,10329,20,4,8105,14952,14125,25286,9927650,6000
